"longitude","latitude","   Population (2007)= ","   Households (2005)= ","   Town name= ","     Province= ","     No. of Barangays= ","   Year Town Created=","   Contact Nos=","Elevation: ","Photo: ","      Risk Data="
125.983,8.167," 35757"," 5045","BUNAWAN","AGUSAN DEL SUR","",""," "," "," ","1 govt district hospital,1 govt municipal health center"
125.65,8.675," 47659"," 8139","ESPERANZA","AGUSAN DEL SUR","",""," "," "," ","1 govt community hospital,1 govt municipal health center"
125.8145,8.3115," 25214"," 3754","LA PAZ","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal hospital,1 govt municipal health center"
125.85,8.183," 34549"," 5572","LORETO","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal hospital,1 govt municipal health center"
125.915000003815,8.57480944229595," 75390"," 13064","PROSPERIDAD","AGUSAN DEL SUR","",""," "," "," ","1 government hospital,1 govt municipal health center"
126.00167,8.38148," 31293"," 5487","ROSARIO","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center"
125.957000011444,8.52709544663644," 62881"," 10717","SAN FRANCISCO","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center"
126.14,8.057," 56968"," 10717","SAN ISIDRO","AGUSAN DEL SUR","",""," "," "," "," "
125.742,8.49," 30424"," 4743","SAN LUIS","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center"
125.995,8.01," 24972"," 4333","SANTA JOSEFA","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center"
125.703,8.821," 30074"," 5289","SIBAGAT","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center"
125.636,8.049," 46247"," 7850","TRENTO","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center,2 private hospitals"
125.95,8.075," 36862"," 6960","VERUELA","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center"
125.7851,8.4487," 33093"," 5462","TALACOGON","AGUSAN DEL SUR","",""," "," "," ","1 govt municipal health center"
122.375,11.552," 26360"," 4548","BALETE","AKLAN","",""," "," "," ","1 govt rural health unit"
122.332,11.638," 34276"," 6469","BANGA","AKLAN","",""," "," "," ","1 govt rural health unit"
122.493,11.588," 29243"," 5874","BATAN","AKLAN","",""," "," "," ","1 govt rural health unit"
121.887,11.847," 15767"," 2758","BURUANGA","AKLAN","",""," "," "," ","1 govt rural health unit"
122.161721922,11.821576059," 42742"," 7918","IBAJAY","AKLAN","",""," "," "," ","1 govt district hospital,2 govt rural health units"
122.363,11.712," 69700"," 12628","KALIBO","AKLAN","",""," "," "," ","1 govt provincial hospital,2 govt rural health units,3 private hospitals"
122.33,11.669," 13077"," 2494","LEZO","AKLAN","",""," "," "," ","1 govt rural health unit"
122.305204674,11.4818144123," 26610"," 4962","LIBACAO","AKLAN","",""," "," "," ","1 govt rural health unit"
122.305955215,11.5272392036," 17889"," 3067","MADALAG","AKLAN","",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
122.292440376,11.7120527204," 25043"," 4342","MAKATO","AKLAN","",""," "," "," ","1 govt rural health unit"
121.905,11.899," 32110"," 4747","MALAY","AKLAN","",""," "," "," ","2 govt hospitals,1 govt rural health unit,1 private hospital"
122.307,11.647," 23921"," 4381","MALINAO","AKLAN","23","1796"," "," "," ","1 govt rural health unit"
122.162105201,11.8162782681," 28345"," 4691","NABAS","AKLAN","",""," "," "," ","1 govt rural health unit"
122.43,11.653," 39656"," 6715","NEW WASHINGTON","AKLAN","",""," "," "," ","1 govt rural health unit"
122.323,11.705," 27570"," 4892","NUMANCIA","AKLAN","",""," "," "," ","1 govt rural health unit"
122.260499636,11.7773512668," 19121"," 3317","TANGALAN","AKLAN","",""," "," "," ","1 govt rural health unit"
123.788,13.293," 61574"," 11154","BACACAY","ALBAY","",""," "," "," ","1 govt district hospital,1 govt rural health unit,1 private hospital,1 fire station"
123.65591,13.18199," 60319"," 11275","CAMALIG","ALBAY","",""," "," "," ","1 govt rural health unit,1 private hospital,1 private clinic,1 fire station"
123.7132,13.14894," 110625"," 20082","DARAGA (LOCSIN)","ALBAY","",""," "," "," ","1 private hospital,1 fire station"
123.598,13.19," 74386"," 14154","GUINOBATAN","ALBAY","",""," "," "," ","1 govt rural health unit,1 private hospital,1 private clinic,1 fire station"
123.597,13.07," 17615"," 3234","JOVELLAR","ALBAY","",""," "," "," ","1 govt rural health unit"
123.72959,13.14122," 179481"," 30612","LEGAZPI CITY","ALBAY","","1587"," "," "," ","1 govt hospital,1 govt rural health unit,5 private hospitals,3 fire stations"
123.77731,13.23706," 30711"," 5390","LIBOG (SANTO DOMINGO)","ALBAY","",""," "," "," ","1 govt rural health unit,1 private clinic,1 fire station"
123.53467,13.24167," 101179"," 17031","LIGAO CITY","ALBAY","",""," "," "," ","1 govt district hospital,2 govt rural health units,1 private hospital,1 private clinic,1 fire station"
123.737,13.32," 33593"," 5714","MALILIPOT","ALBAY","",""," "," "," ","1 govt rural health unit,1 fire station"
123.703,13.398," 39516"," 6966","MALINAO","ALBAY","",""," "," "," ","1 govt rural health unit,1 private clinic"
123.86739,13.12345," 21652"," 3776","MANITO","ALBAY","",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
123.54302,13.25867," 63888"," 11715","OAS","ALBAY","",""," "," "," ","1 govt rural health unit,3 private hospitals,1 fire station"
123.487,13.288," 77122"," 13773","POLANGUI","ALBAY","",""," "," "," ","1 govt rural health unit,2 private hospitals,1 fire station"
124.128,13.188," 32646"," 5591","RAPU-RAPU","ALBAY","",""," "," "," ","1 govt municipal hospital,1 govt district hospital,1 govt rural health unit,1 fire sub-station"
123.728,13.362," 123513"," 19599","TABACO","ALBAY","",""," "," "," ","1 govt district hospital,1 govt rural health unit,5 private hospitals,1 fire station"
123.677,13.458," 49185"," 8036","TIWI","ALBAY","","1696"," "," "," ","1 govt rural health unit,2 private clinics"
121.92683,10.43062," 20097"," 3610","ANINI-Y","ANTIQUE","",""," "," "," ","1 govt rural health unit"
122.037998388,11.195121766," 20709"," 3834","BARBAZA","ANTIQUE","",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
121.95976,10.83781," 12467"," 2355","BELISON","ANTIQUE","",""," "," "," ","1 govt rural health unit"
122.06498,11.04445," 30394"," 5768","BUGASONG","ANTIQUE","",""," "," "," ","1 govt community hospital,1 govt rural health unit"
121.545,11.93," 25526"," 3942","CALUYA","ANTIQUE","",""," "," "," ","1 private hospital,1 govt rural health unit"
122.05604,11.4263," 37100"," 6396","CULASI","ANTIQUE","",""," "," "," ","1 govt district hospital,1 govt rural health unit"
121.94556,10.51612," 29772"," 5422","DAO (TOBIAS FORNIER)","ANTIQUE","",""," "," "," ","1 govt hospital,1 govt municipal health center"
121.98048,10.70051," 42375"," 7479","HAMTIC","ANTIQUE","",""," "," "," ","1 govt rural health unit"
122.041310928,11.1430015749," 23808"," 4725","LAUA-AN","ANTIQUE","",""," "," "," ","1 govt rural health unit"
121.918823244,11.7692428067," 14653"," 2637","LIBERTAD","ANTIQUE","",""," "," "," ","1 govt rural health unit"
122.09603567,11.7205696502," 29518"," 5534","PANDAN","ANTIQUE","",""," "," "," ","1 govt rural health unit,1 private hospital"
121.995020403,10.9146328361," 33694"," 6381","PATNONGON","ANTIQUE","",""," "," "," ","1 govt rural health unit"
121.94141,10.74655," 54871"," 9639","SAN JOSE","ANTIQUE","",""," "," "," ","1 govt hospital,1 govt rural health unit"
122.090127,10.829402," 28401"," 4755","SAN REMIGIO","ANTIQUE","",""," "," "," ","1 govt rural health unit"
122.095697634,11.5896876804," 15840"," 2910","SEBASTE","ANTIQUE","",""," "," "," ","1 govt rural health unit"
122.017956008,10.7894920869," 53934"," 9768","SIBALOM","ANTIQUE","",""," "," "," ","1 govt district hospital,1 govt rural health unit"
122.034269024,11.2892068547," 23228"," 4408","TIBIAO","ANTIQUE","",""," "," "," ","1 govt rural health unit"
122.128,11.002," 18878"," 3378","VALDERRAMA","ANTIQUE","",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
121.025,18.258," 9663"," 2034","BAYAG (CALANASAN)","APAYAO","",""," "," "," ","1 govt district hospital,1 govt rural health unit"
121.40699,17.71072," 22668"," 3808","CONNER","APAYAO","",""," "," "," ","1 private clinic,1 govt rural health unit "
121.183,18.025," 14529"," 2501","KABUGAO","APAYAO","",""," "," "," ","1 provincial hospital"
121.372,18.33176," 16431"," 2776","LUNA","APAYAO","",""," "," "," ","1 govt rural health unit "
121.362,18.22889," 12595"," 2066","PUDTOL","APAYAO","",""," "," "," ","1 govt district hospital,1 govt rural health unit"
121.41799,18.26699," 11731"," 1995","SANTA MARCELA","APAYAO","",""," "," "," ","1 govt hospital,1 govt rural health unit"
121.562817,15.758933," 34492"," 5955","BALER","AURORA","13",""," "," "," ","1 govt hospital,1 govt rural health unit"
122.12447,16.27677," 22403"," 4366","CASIGURAN","AURORA","24",""," "," "," ","1 govt municipal health center"
122.2121,16.39275," 14833"," 3011","DILASAG","AURORA","11",""," "," "," ","1 govt municipal health center"
121.38743,15.40264," 21992"," 4115","DINGALAN","AURORA","11",""," "," "," ","1 govt municipal health center"
121.537283,15.848783," 24882"," 4796","DIPACULAO","AURORA","25",""," "," "," ","1 govt municipal health center"
121.4737,15.79865," 35289"," 6751","MARIA AURORA","AURORA","40",""," "," "," ","1 govt municipal health center,31 govt elem schools,5 govt high schools"
121.520833,15.7205," 23766"," 4155","SAN LUIS","AURORA","18",""," "," "," ","1 govt municipal health center"
121.95,6.7," 87985"," 13753","ISABELA CITY","BASILAN","",""," "," "," ","3 govt municipal health centers,3 private hospitals,39 public schools"
122.141,6.666," 82074"," 11586","LAMITAN","BASILAN","",""," "," "," ","1 govt district hospital,2 govt municipal health centers,1 private hospital"
121.87653,6.54495," 31054"," 5456","MALUSO","BASILAN","",""," "," "," ","1 govt municipal health center"
122.273,6.645," 26498"," 8062","TUBURAN","BASILAN","",""," "," "," ","1 govt municipal health center"
120.533,14.723," 38554"," 6593","ABUCAY","BATAAN","9",""," "," "," ","2 govt rural health units"
120.39,14.598," 24202"," 4553","BAGAC","BATAAN","14",""," "," "," ","1 govt community hospital,1 govt rural health unit"
120.54,14.68," 84105"," 14065","BALANGA CITY","BATAAN","25",""," "," "," ","1 govt hospital,2 govt rural health units"
120.46137,14.86771," 92289"," 14833","DINALUPIHAN","BATAAN","46",""," "," "," ","1 govt hospital,2 govt rural health units,3 private hospitals and 1 private clinic"
120.505,14.833," 52484"," 8988","HERMOSA","BATAAN","23",""," "," "," ","1 govt rural health unit"
120.597,14.567," 54782"," 9490","LIMAY","BATAAN","12",""," "," "," ","1 govt hospital,1 govt rural health unit,2 private hospitals and 2 private clinics"
120.483,14.438," 102844"," 19460","MARIVELES","BATAAN","18",""," "," "," ","2 govt rural health units,5 private hospitals"
120.267,14.683," 27119"," 4204","MORONG","BATAAN","5",""," "," "," ","1 govt rural health unit"
120.535,14.803," 59530"," 10810","ORANI","BATAAN","29",""," "," "," ","1 govt district hospital,1 govt rural health unit"
120.578,14.622," 49164"," 8735","ORION","BATAAN","23",""," "," "," ","2 govt rural health units"
120.558,14.667," 43213"," 6514","PILAR","BATAAN","19",""," "," "," ","2 govt rural health units"
120.542,14.772," 33867"," 5429","SAMAL","BATAAN","14",""," "," "," ","1 govt rural health unit"
121.96979,20.46076," 7517"," 1469","BASCO","BATANES","6",""," "," "," ","2 govt hospitals,1 govt rural health unit"
121.845,20.795," 3069"," 719","ITBAYAT","BATANES","5",""," "," "," ","1 govt rural health unit"
121.913,20.373," 1181"," 283","IVANA","BATANES","4",""," "," "," ","1 govt rural health unit"
121.947,20.418," 1539"," 388","MAHATAO","BATANES","4",""," "," "," ","1 govt rural health unit"
121.872,20.335," 1465"," 353","SABTANG","BATANES","6",""," "," "," ","1 govt rural health unit"
121.94,20.352," 1203"," 277","UYUGAN","BATANES","4",""," "," "," ","1 govt rural health unit"
120.934,13.936," 33990"," 5029","AGONCILLO","BATANGAS","21",""," "," "," ","1 govt rural health unit"
121.005,13.867," 22794"," 3708","ALITAGTAG","BATANGAS","19",""," "," "," ","1 govt rural health unit"
120.727,13.94," 79407"," 13843","BALAYAN","BATANGAS","48",""," "," "," ","1 govt district hospital,2 govt rural health units,1 private hospital"
1321.097,14.015," 19252"," 3067","BALETE","BATANGAS","13",""," "," "," ","1 govt rural health unit"
121.057,13.757," 295231"," 50223","BATANGAS CITY","BATANGAS","105",""," "," "," ","1 govt hospital,7 municipal health centers,3 private hospitals"
121.008,13.792," 79831"," 15353","BAUAN","BATANGAS","40",""," "," "," ","1 govt hospital,2 govt rural health units,1 private hospital"
120.815,13.935," 64966"," 11306","CALACA","BATANGAS","40",""," "," "," ","2 govt rural health units"
120.633,13.832," 51544"," 9201","CALATAGAN","BATANGAS","25",""," "," "," ","1 govt hospital,1 govt rural health unit"
121.052,13.905," 28581"," 5222","CUENCA","BATANGAS","21",""," "," "," ","1 govt hospital,1 govt rural health unit,1 private clinic"
121.132,13.818," 45649"," 7825","IBAAN","BATANGAS","26",""," "," "," ","1 govt rural health unit,1 private hospital"
120.931,14.055," 34953"," 5153","LAUREL","BATANGAS","21",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
120.912,13.882," 76090"," 12709","LEMERY","BATANGAS","46",""," "," "," ","1 govt hospital,2 govt rural health units, private hospitals and 1 private clinic"
120.65,14.042," 44925"," 8215","LIAN","BATANGAS","19",""," "," "," ","1 govt rural health unit,1 private hospital"
121.163,13.942," 260568"," 41962","LIPA CITY","BATANGAS","72",""," "," "," ","1 govt district hospital and 1 military hospital,9 private hospitals"
121.21,13.647," 37798"," 6611","LOBO","BATANGAS","26",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
120.94,13.752," 40629"," 7025","MABINI","BATANGAS","34",""," "," "," ","1 govt rural health unit,1 private hospital"
121.152,14.05," 41730"," 6310","MALVAR","BATANGAS","15",""," "," "," ","1 govt rural health unit,1 private clinic"
121.117,13.958," 25400"," 3918","MATAAS NA KAHOY","BATANGAS","16",""," "," "," ","1 govt rural health unit,1 private hospital"
120.62483,14.08083," 113926"," 19615","NASUGBU","BATANGAS","42",""," "," "," ","1 govt district hospital,2 govt rural health units,2 private hospitals"
121.214,13.88," 42942"," 6334","PADRE GARCIA","BATANGAS","18",""," "," "," ","1 govt rural health unit"
121.203,13.846," 95785"," 16288","ROSARIO","BATANGAS","48",""," "," "," ","2 govt rural health units,3 private hospitals"
121.105,13.88," 61307"," 10123","SAN JOSE","BATANGAS","33",""," "," "," ","1 govt district hospital,1 govt rural health unit"
121.397,13.827," 87276"," 16519","SAN JUAN","BATANGAS","42",""," "," "," ","1 govt rural health unit,2 private hospitals and 1 private clinic"
120.917,13.852," 29645"," 5365","SAN LUIS","BATANGAS","26",""," "," "," ","2 govt rural health units"
120.949,13.928," 19046"," 2946","SAN NICOLAS","BATANGAS","18",""," "," "," ","1 govt rural health unit,1 private hospital"
121.024,13.788," 57200"," 9744","SAN PASCUAL","BATANGAS","29",""," "," "," ","1 govt rural health unit"
120.97,13.867," 16891"," 2762","SANTA TERESITA","BATANGAS","17",""," "," "," ","1 govt rural health unit"
121.14,14.108," 113105"," 15712","SANTO TOMAS","BATANGAS","30",""," "," "," ","2 govt rural health units,3 private hospitals"
120.922,13.878," 51459"," 8451","TAAL","BATANGAS","42",""," "," "," ","2 govt rural health units,2 private hospitals"
121.027,14.093," 39120"," 6246","TALISAY","BATANGAS","21",""," "," "," ","1 govt rural health unit,1 private hospital"
121.1,14.089," 142537"," 21912","TANAUAN CITY","BATANGAS","48",""," "," "," ","1 govt district hospital,2 govt rural health units,4 private hospitals and 1 private clinic"
121.188,13.797," 33454"," 5823","TAYSAN","BATANGAS","20",""," "," "," ","1 govt rural health unit"
120.869,13.66," 18548"," 3269","TINGLOY","BATANGAS","15",""," "," "," ","1 govt rural health unit"
120.728,14.02," 40290"," 6978","TUY","BATANGAS","22",""," "," "," ","1 govt rural health unit"
120.66599,16.57894," 19253"," 3397","ATOK","BENGUET","",""," "," "," ","1 district hospital,1 govt rural health unit"
120.59399,16.40161," 301296"," 52302","BAGUIO CITY","BENGUET","",""," "," "," ","2 hospitals,6 district hospitals,7 sub-district health centers,2 health centers,8 district health centers,5 private hsopitals"
120.667,16.725," 12137"," 2346","BAKUN","BENGUET","",""," "," "," ","1 govt rural health unit"
120.80799,16.71375," 34507"," 6312","BUGUIAS","BENGUET","",""," "," "," ","1 govt hospital,1 govt rural health unit"
120.658,16.375," 48778"," 8588","ITOGON","BENGUET","",""," "," "," ","1 govt municipal hospital"
120.85,16.642," 12657"," 2063","KABAYAN","BENGUET","",""," "," "," ","1 govt rural health unit"
120.525,16.583," 18211"," 3371","KAPANGAN","BENGUET","",""," "," "," ","1 govt community hospital,1 govt rural health unit"
120.667,16.692," 15700"," 2949","KIBUNGAN","BENGUET","",""," "," "," ","1 govt rural health unit"
120.57399,16.41318," 97810"," 13658","LA TRINIDAD","BENGUET","",""," "," "," ","1 govt hospital,1 govt rural health unit"
120.792,16.858," 34563"," 6495","MANKAYAN","BENGUET","",""," "," "," ","1 private hospital,1 govt rural health unit"
120.493,16.486," 10890"," 1873","SABLAN","BENGUET","",""," "," "," ","1 govt rural health unit"
120.56599,16.38039," 40008"," 7210","TUBA","BENGUET","",""," "," "," ","1 govt rural health unit,1 private hospital"
120.62999,16.46138," 15096"," 2619","TUBLAY","BENGUET","",""," "," "," ","1 govt rural health unit"
124.38,11.623," 14420"," 2886","ALMERIA","BILIRAN","",""," "," "," ","1 govt rural health unit"
124.473,11.46667," 14947"," 2619","BILIRAN","BILIRAN","",""," "," "," ","1 govt rural health unit"
124.573,11.473," 18799"," 3372","CABUCGAYAN","BILIRAN","",""," "," "," ","1 govt rural health unit"
124.578,11.573," 20616"," 3597","CAIBIRAN","BILIRAN","",""," "," "," ","1 govt rural health unit,1 govt municipal health center"
124.539,11.659," 10962"," 2193","CULABA","BILIRAN","",""," "," "," ","1 govt rural health unit,1 govt municipal health center"
124.35545,11.68399," 19053"," 3688","KAWAYAN","BILIRAN","",""," "," "," ","1 govt rural health unit"
124.348,11.78," 6946"," 1562","MARIPIPI","BILIRAN","",""," "," "," ","1 govt rural health unit,1 govt municipal health center"
124.392,11.563," 44288"," 7990","NAVAL","BILIRAN","",""," "," "," ","1 govt provincial hospital 1 govt rural health unit"
123.95699,9.61052," 9644"," 1670","ALBURQUERQUE","BOHOL","",""," "," "," ","1 govt rural health unit"
124.44098,9.89838," 23422"," 4065","ALICIA","BOHOL","",""," "," "," ","1 govt rural health unit"
124.57568,9.74341," 16616"," 3072","ANDA","BOHOL","",""," "," "," ","1 govt rural health unit"
123.89838,9.7809," 14357"," 2801","ANTEQUERA","BOHOL","",""," "," "," ","1 govt rural health unit,1 private community hospital"
123.91357,9.62247," 18015"," 2978","BACLAYON","BOHOL","",""," "," "," ","1 govt rural health unit"
123.97068,9.75504," 17131"," 3101","BALILIHAN","BOHOL","",""," "," "," ","1 govt rural health unit"
124.11176,10.08093," 26443"," 4550","BUENAVISTA","BOHOL","",""," "," "," ","1 govt rural health unit"
123.87260,9.88975," 29786"," 5588","CALAPE","BOHOL","",""," "," "," ","1 govt rural health unit,2 private hospitals"
124.49621,9.81806," 31183"," 5420","CANDIJAY","BOHOL","",""," "," "," ","1 govt hospital,1 govt rural health unit"
124.19387,9.82082," 43153"," 7379","CARMEN","BOHOL","",""," "," "," ","1 govt hospital,1 govt rural health unit"
124.00493,9.85914," 23333"," 4094","CATIGBIAN","BOHOL","",""," "," "," ","1 govt district hospital 1 govt rural health unit"
124.02386,9.9624," 18871"," 3575","CLARIN","BOHOL","",""," "," "," ","1 govt community hospital"
123.92153,9.68718," 7471"," 1263","CORELLA","BOHOL","",""," "," "," ","1 govt rural health unit"
123.87821,9.72169," 14586"," 2547","CORTES","BOHOL","",""," "," "," ","1 govt rural health unit"
124.274,9.896," 18311"," 3095","DAGOHOY","BOHOL","",""," "," "," ","1 govt rural health unit"
124.22039,9.94668," 17716"," 2958","DANAO","BOHOL","",""," "," "," ","1 govt rural health unit"
123.86561,9.62485," 36525"," 2669","DAUIS","BOHOL","",""," "," "," ","1 govt rural health unit"
124.16265,9.60556," 14187"," 2708","DIMIAO","BOHOL","",""," "," "," ","1 govt rural health unit"
124.40575,9.70863," 17254"," 3245","DUERO","BOHOL","",""," "," "," ","1 govt rural health unit,1 private hospital"
124.29532,9.6146," 21308"," 3989","GARCIA HERNANDEZ","BOHOL","",""," "," "," ","1 govt rural health unit,1 private hospital"
124.48611,9.763055," 32355"," 5573","GUINDULMAN","BOHOL","",""," "," "," ","1 govt rural health unit,2 private hospitals"
124.06596,10.0311," 43331"," 7867","INABANGA","BOHOL","",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
124.369444,9.653055," 32034"," 5957","JAGNA","BOHOL","",""," "," "," ","1 govt hospital,1 govt rural health unit,1 private community hospital"
124.1546,10.14935," 27852"," 4694","GETAFE","BOHOL","",""," "," "," ","1 govt rural health unit"
124.09631,9.59057," 10801"," 1723","LILA","BOHOL","",""," "," "," ","1 govt rural health unit"
124.0114,9.599278," 15881"," 2615","LOAY","BOHOL","",""," "," "," ","1 govt rural health unit"
124.03039,9.63727," 16299"," 2738","LOBOC","BOHOL","",""," "," "," ","1 govt rural health unit"
123.7991,9.804133," 42441"," 7915","LOON","BOHOL","",""," "," "," ","1 govt hospital,1 govt rural health unit"
124.51991,9.8653," 28788"," 5047","MABINI","BOHOL","",""," "," "," ","1 govt rural health unit"
123.845,9.74," 18113"," 2630","MARIBOJOC","BOHOL","",""," "," "," ","1 govt community hospital,1 govt rural health unit"
123.75212,9.58078," 25558"," 3890","PANGLAO","BOHOL","",""," "," "," ","1 govt rural health unit"
124.3321,9.83669," 27276"," 4489","PILAR","BOHOL","",""," "," "," ","1 govt rural health unit"
124.55363,10.12188," 205118"," 4062","PRES. CARLOS P. GARCIA (PITOGO)","BOHOL","",""," "," "," ","1 govt rural health unit"
124.09375,9.91299," 19399"," 3688","SAGBAYAN (BORJA)","BOHOL","",""," "," "," ","1 govt rural health unit"
123.9475,9.8675," 9176"," 1848","SAN ISIDRO","BOHOL","",""," "," "," ","1 govt rural health unit"
124.33872,9.98597," 22199"," 3738","SAN MIGUEL","BOHOL","",""," "," "," ","1 govt municipal hospital,1 govt rural health unit"
124.03,9.705," 11289"," 1840","SEVILLA","BOHOL","",""," "," "," ","1 govt rural health unit"
124.29084,9.80772," 26398"," 4473","SIERRA BULLONES","BOHOL","",""," "," "," ","1 govt rural health unit"
123.973,9.688," 6335"," 1177","SIKATUNA","BOHOL","",""," "," "," ","1 govt rural health unit"
